ds,yhat_lower,yhat_upper,trend,additive_terms,holidays,weekly_not_summer_winter,yearly,寒假,暑假,期末周,节假日,multiplicative_terms_upper,yhat,,,,,Yearly+baseline
2023-5-20,119.1812684,151.6276489,115.4347437,20.42707816,0,1.187226357,19.2398518,0,0,0,0,0,0,0,135.8618218,,,134.6745955
2023-5-21,124.6087209,156.2781124,115.4405778,25.21648166,0,5.676758283,19.53972338,0,0,0,0,0,0,0,140.6570594,,,134.9803012
2023-5-22,114.3950608,148.5214366,115.4464119,15.60183255,0,-4.212655791,19.81448834,0,0,0,0,0,0,0,131.0482445,,,135.2609002
2023-5-23,117.4894137,150.7373507,115.4522461,19.07716115,0,-0.99441043,20.07157158,0,0,0,0,0,0,0,134.5294072,,,135.5238177
2023-5-24,118.2016759,149.8056351,115.4580802,19.11995456,0,-1.199303542,20.31925811,0,0,0,0,0,0,0,134.5780347,,,135.7773383
2023-5-25,115.9169759,148.4443056,115.4639143,17.91479745,0,-2.651455054,20.56625251,0,0,0,0,0,0,0,133.3787118,,,136.0301668
2023-5-26,122.3081316,154.3447681,115.4697484,23.01505701,0,2.193840177,20.82121683,0,0,0,0,0,0,0,138.4848055,,,136.2909652
2023-5-27,121.1162883,154.7599531,115.4755826,22.27952956,0,1.187226357,21.0923032,0,0,0,0,0,0,0,137.7551121,,,136.5678858
2023-5-28,124.7587828,158.9679447,115.4814167,27.06345571,0,5.676758283,21.38669743,0,0,0,0,0,0,0,142.5448724,,,136.8681141
2023-5-29,116.6568939,147.9942196,115.4872508,17.497534,0,-4.212655791,21.71018979,0,0,0,0,0,0,0,132.9847848,,,137.1974406
2023-5-30,120.1491077,152.4959929,115.493085,21.07237773,0,-0.99441043,22.06678816,0,0,0,0,0,0,0,136.5654627,,,137.5598732
2023-5-31,121.306461,153.4859365,115.4989191,21.25908381,0,-1.199303542,22.45838736,0,0,0,0,0,0,0,136.7580029,,,137.9573065
2023-6-1,119.1133191,151.8767649,115.5047532,20.23305197,0,-2.651455054,22.88450703,0,0,0,0,0,0,0,135.7378052,,,138.3892602
2023-6-2,124.395232,155.7887281,115.5105874,25.5359481,0,2.193840177,23.34210792,0,0,0,0,0,0,0,141.0465355,,,138.8526953
2023-6-3,123.4191681,156.722088,115.5164215,25.01272056,0,1.187226357,23.8254942,0,0,0,0,0,0,0,140.529142,,,139.3419157
2023-6-4,128.9092725,162.796717,115.5222556,30.00306476,0,5.676758283,24.32630648,0,0,0,0,0,0,0,145.5253204,,,139.8485621
2023-6-5,119.0454515,152.1127577,115.5280897,20.62095187,0,-4.212655791,24.83360766,0,0,0,0,0,0,0,136.1490416,,,140.3616974
2023-6-6,123.7922583,156.8903118,115.5339239,24.33964997,0,-0.99441043,25.3340604,0,0,0,0,0,0,0,139.8735738,,,140.8679843
2023-6-7,125.1421999,156.6334679,115.539758,24.61288876,0,-1.199303542,25.8121923,0,0,0,0,0,0,0,140.1526468,,,141.3519503
2023-6-8,123.0957015,155.4481906,115.5455921,23.59928684,0,-2.651455054,26.25074189,0,0,0,0,0,0,0,139.144879,,,141.796334
2023-6-9,128.0200533,160.0921075,115.5514263,28.82491624,0,2.193840177,26.63107606,0,0,0,0,0,0,0,144.3763425,,,142.1825024
2023-6-10,127.3160481,160.0906557,115.5572604,28.12089336,0,1.187226357,26.933667,0,0,0,0,0,0,0,143.6781537,,,142.4909274
2023-6-11,132.0831887,164.9814857,115.5630945,32.81537314,0,5.676758283,27.13861486,0,0,0,0,0,0,0,148.3784676,,,142.7017094
2023-6-12,122.0245951,154.1745685,115.5689286,23.01354476,0,-4.212655791,27.22620055,0,0,0,0,0,0,0,138.5824734,,,142.7951292
2023-6-13,124.962818,156.9178562,115.5747628,26.18304186,0,-0.99441043,27.17745229,0,0,0,0,0,0,0,141.7578046,,,142.7522151
2023-6-14,125.5160865,157.2787957,115.5805969,25.77540492,0,-1.199303542,26.97470846,0,0,0,0,0,0,0,141.3560018,,,142.5553054
2023-6-15,124.4170225,156.5645908,115.586431,23.95070449,0,-2.651455054,26.60215954,0,0,0,0,0,0,0,139.5371355,,,142.1885905
2023-6-16,127.9036479,159.9370541,115.5922651,28.24019242,0,2.193840177,26.04635225,0,0,0,0,0,0,0,143.8324576,,,141.6386174
2023-6-17,125.4575828,158.7032598,115.5980993,26.48386609,0,1.187226357,25.29663974,0,0,0,0,0,0,0,142.0819654,,,140.894739
2023-6-18,128.8046495,162.2902082,115.6039334,30.02232185,0,5.676758283,24.34556357,0,0,0,0,0,0,0,145.6262552,,,139.949497
2023-6-19,121.7329596,154.589648,115.6097675,22.28932094,3.31282219,-4.212655791,23.18915454,0,0,3.31282219,0,0,0,0,137.8990885,,,138.798922
2023-6-20,131.7919732,164.468481,115.6156016,32.1491772,11.31644541,-0.99441043,21.82714222,0,0,11.31644541,0,0,0,0,147.7647788,,,137.4427438
2023-6-21,130.754875,162.1881585,115.6214358,30.38020724,11.31644541,-1.199303542,20.26306537,0,0,11.31644541,0,0,0,0,146.001643,,,135.8845012
2023-6-22,121.6497247,154.8560992,115.6272699,22.8312501,4.326971639,0,18.50427846,0,0,11.31644541,-6.989473773,0,0,0,138.45852,,,134.1315484
2023-6-23,108.5693481,141.737782,115.633104,8.96809873,-7.593753633,0,16.56185236,0,0,11.31644541,-18.91019905,0,0,0,124.6012028,,,132.1949564
2023-6-24,106.9386308,138.9873397,115.6389381,6.856617177,-7.593753633,0,14.45037081,0,0,11.31644541,-18.91019905,0,0,0,122.4955553,,,130.0893089
2023-6-25,117.799056,150.0132697,115.6447723,17.26010526,-0.604279861,5.676758283,12.18762683,0,0,11.31644541,-11.92072527,0,0,0,132.9048775,,,127.8323991
2023-6-26,115.9101651,147.6160777,115.6506064,16.80515306,7.010926194,0,9.794226866,0,-0.992697027,8.003623221,0,0,0,0,132.4557595,,,125.4448333
2023-6-27,106.2472627,138.4740791,115.6564405,6.269775616,-1.023337135,0,7.293112751,0,-1.023337135,0,0,0,0,0,121.9262161,,,122.9495533
2023-6-28,102.6865617,137.52939,115.6622747,3.685677419,-1.023337135,0,4.709014554,0,-1.023337135,0,0,0,0,0,119.3479521,,,120.3712893
2023-6-29,99.05664084,132.5549382,115.6681088,1.044512095,-1.023337135,0,2.06784923,0,-1.023337135,0,0,0,0,0,116.7126209,,,117.735958
2023-6-30,97.99559699,131.3829749,115.6739429,-1.62725515,-1.023337135,0,-0.603918015,0,-1.023337135,0,0,0,0,0,114.0466878,,,115.0700249
2023-7-1,94.67654723,127.0403281,115.679777,-4.303268702,-1.023337135,0,-3.279931567,0,-1.023337135,0,0,0,0,0,111.3765083,,,112.3998454
2023-7-2,91.81588966,124.5236078,115.6856112,-6.957940708,-1.023337135,0,-5.934603573,0,-1.023337135,0,0,0,0,0,108.7276705,,,109.7510076
2023-7-3,89.9853602,122.3304533,115.6914453,-9.567090486,-1.023337135,0,-8.543753351,0,-1.023337135,0,0,0,0,0,106.1243548,,,107.1476919
2023-7-4,87.31019763,120.2456674,115.6972794,-12.10854642,-1.023337135,0,-11.08520929,0,-1.023337135,0,0,0,0,0,103.588733,,,104.6120701
2023-7-5,86.2487681,117.7021602,115.7031135,-14.56269251,-1.023337135,0,-13.53935537,0,-1.023337135,0,0,0,0,0,101.140421,,,102.1637581
2023-7-6,82.08938687,115.8174398,115.7089477,-16.91294309,-1.023337135,0,-15.88960595,0,-1.023337135,0,0,0,0,0,98.79600457,,,99.81934175
2023-7-7,81.07384988,112.8880986,115.7147818,-19.14613128,-1.023337135,0,-18.12279414,0,-1.023337135,0,0,0,0,0,96.56865051,,,97.59198766
2023-7-8,77.46007178,111.1798665,115.7206159,-21.25279897,-1.023337135,0,-20.22946184,0,-1.023337135,0,0,0,0,0,94.46781694,,,95.49115406
2023-7-9,76.78713033,109.0735456,115.72645,-23.22737887,-1.023337135,0,-22.20404174,0,-1.023337135,0,0,0,0,0,92.49907116,,,93.52240826
2023-7-10,74.39204782,107.1198553,115.7322842,-25.06826228,-1.023337135,0,-24.04492515,0,-1.023337135,0,0,0,0,0,90.66402187,,,91.68735905
2023-7-11,72.91880223,104.6991255,115.7381183,-26.77774942,-1.023337135,0,-25.75441228,0,-1.023337135,0,0,0,0,0,88.96036886,,,89.98370602
2023-7-12,70.99384147,102.3856066,115.7439524,-28.36188241,-1.023337135,0,-27.33854528,0,-1.023337135,0,0,0,0,0,87.38206999,,,88.40540712
